市区町村名,イベント名,イベント名_カナ,イベント名_英語,カテゴリー,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,主催者,場所名称,住所,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,郵便番号,共催・協力,参加条件_詳細,駐車場_有無,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
江東区,2020男女共同参画フォーラム,2020ダンジョキョウドウサンカクフォーラム,38th Koto Fireworks Festival,その他,2020-06-21,2020-06-21,10:00,16:00,小雨決行・荒天中止（順延日なし）,男女共同参画の視点を持って地域で活動する学習団体の活動発表・講座開催・区民交流の場,0,0,江東区男女共同参画推進センター,(03)5683-0341,江東区男女共同参画推進センター,江東区男女共同参画推進センター,江東区扇橋3-22-2,35.684018,139.820299,都営新宿線・東京メトロ半蔵門線住吉駅徒歩12分・都バス扇橋二丁目バス停徒歩6分・扇橋三丁目バス停徒歩3分,無,48,2020/6/20,21:00,電話、窓口、ホームページ,https://www.city.koto.lg.jp/055201/kurashi/jinken/danjo/center/forum/forumannai.html,新型コロナウイルスの影響により延期,135-0011,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,1,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,亀戸天神梅まつり,カメイドテンジンウメマツリ,Kameido Tenjin plum Festival,祭り,2019-02-10,2019-03-10,0:00,23:59,神社境内は24時間入れます。,境内には300本を超す紅白の梅が植えられており、早咲きから遅咲きまで、ながきにわたり楽しむことができます。,0,0,江東区観光協会,03-6458-7400,江東区亀戸観光協会,亀戸天神社,東京都江東区亀戸3-6-1,35.702931,139.820668,JR総武線亀戸駅下車北口より徒歩15分 JR総武線、東京メトロ半蔵門線錦糸町駅下車北口より徒歩15分 都バス亀戸天神前下車徒歩1分,無,48,2020/6/20,21:00,誰でも自由に観覧できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,136-0071,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://www.city.koto.lg.jp/101032/kurashi/komyunitei/hanabi/67.html,情報なし,情報なし,2020-12-18
江東区,福分けまつり,フクワケマツリ,fortune and worship,祭り,2019-03-10,2019-03-10,10:00,14:00,小雨決行です。,亀戸地区の小・中学校の皆さんが大切に育てた「亀戸大根」を奉納する神事「亀戸大根収穫祭」のあと、亀戸大根の味噌汁を無料で提供する「福分けまつり」が行われます。,0,0,江東区観光協会,03-6458-7400,かめの会,亀戸香取神社,東京都江東区亀戸3-57-22,35.704156,139.825368,JR総武線・東武亀戸線「亀戸駅」北口徒歩10分,無,48,2020/6/20,21:00,誰でも自由に参加できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,136-0071,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
江東区,リバーフェスタ江東,リバーフェスタコウトウ,River Festa Koto,その他,2019-03-24,2019-03-24,10:00,15:30,小雨決行です。,カヌー、小型ヨット、水陸両用バスなど水辺の乗り物が集合。どれも体験できます。味の名店、商店街による模擬店の他、色んな遊びもあります。地面に絵を描いたり、木の実の工作もできて、誰もがアーティスト。自由に遊んで食べて、楽しむイベントです。,0,0,江東区観光協会,03-6458-7400,特定非営利活動法人　江東区の水辺に親しむ会,旧中川川の駅周辺,東京都江東区大島9-10,35.687467,139.846618,都営新宿線「東大島駅」大島口徒歩5分,無,48,2020/6/20,21:00,誰でも自由に参加できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,136-0074,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
江東区,お江戸深川さくらまつり,オエドフカガワサクラマツリ,Edo Fukagawa cherry tree Festival,祭り,2019-03-23,2019-04-07,10:00,15:00,イベントにより時間が異なります。,お花見クルーズ、和船周遊、朝市、お花見カフェなどの様々なイベントを展開します。,0,"お花見クルーズ2,500円、和船周遊500円",江東区観光協会,03-6458-7400,深川観光協会,石島橋周辺,東京都江東区牡丹2,35.671094,139.795511,都営大江戸線・東京メトロ東西線「門前仲町駅」4番出口徒歩2分,無,48,2020/6/20,21:00,誰でも自由に参加できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,135-0048,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
江東区,亀戸天神藤まつり,カメイドテンジンフジマツリ,Kameido Tenjin wisteria Festival,祭り,2019-04-14,2019-05-06,0:00,23:59,神社境内は24時間入れます。,4月の中旬からほのかな香りの藤の花が一斉に咲き始めます。日ごと成長する藤を愛しみ、毎日足を運ばれる方も多くいらっしゃいます。また、下町ならではのお楽しみ、境内いっぱいに露店がたちならび、おまつり気分に花を添えます。夜は一転、ライトアップされた幻想的な世界に。時折吹く風に藤棚がざわっと音を立てて、言葉にできないほど優雅です。ライチアップは期間中は毎日、日没〜お楽しみいただけます。,0,"お花見クルーズ2,500円、和船周遊500円",江東区観光協会,03-6458-7400,江東区亀戸観光協会,亀戸天神社,東京都江東区亀戸3-6-1,35.702931,139.820668,JR総武線亀戸駅下車北口より徒歩15分 JR総武線、東京メトロ半蔵門線錦糸町駅下車北口より徒歩15分 都バス亀戸天神前下車徒歩1分,無,48,2020/6/20,21:00,誰でも自由に参加できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,136-0071,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
江東区,勝矢祭,カチヤサイ,Kachiya Festival,その他,2019-05-05,2019-05-05,13:00,16:00,神社境内は24時間入れます。,鎧兜の装束や陣羽織、裃（かみしも）などを身にまとった氏子たち、地元小学生の鼓笛隊などが参加する武者行列が、香取神社の兼務社である亀出神社（大島3丁目）で「エイ、エイ、オー」の勝鬨を挙げて出発し、亀戸駅前十三間通りなど香取神社までの約2�qを途中演武を交えながら練り歩きます。香取神社に到着すると、本殿で勝矢の奉納の儀式が厳かに行われます。毎年沿道などの人出は約10万人にも達します。,0,"お花見クルーズ2,500円、和船周遊500円",江東区観光協会,03-6458-7400,亀戸香取神社,亀戸香取神社,東京都江東区亀戸3-57-22,35.704156,139.825368,JR総武線・東武亀戸線「亀戸駅」北口徒歩10分,無,48,2020/6/20,21:00,誰でも自由に観覧できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,136-0071,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
江東区,大島旧中川そらまめ祭り,オオジマキュウナカガワソラマメマツリ,Ojima Kyu-Nakagawa broad bean Festival,祭り,2019-05-18,2019-05-19,10:00,16:00,天候等により内容が変更・中止になることがあります。,幻の江戸野菜”中川そらまめ”にスポットをあてたイベント「大島旧中川そらまめ祭り」が毎年開催されます。 模擬店、パフォーマンスのほか、川の駅周辺の史跡をご案内するまちあるきガイドもございます。,0,"お花見クルーズ2,500円、和船周遊500円",江東区観光協会,03-6458-7400,大島まちづくり協議会,旧中川川の駅周辺,東京都江東区大島9-10,35.687467,139.846618,都営新宿線「東大島駅」大島口徒歩5分,無,48,2020/6/20,21:00,誰でも自由に参加できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,136-0074,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
江東区,深川八幡祭り,フカガワハチマンマツリ,Fukagawa Hachiman Festival,祭り,2019-08-11,2019-08-15,7:30,20:00,天候等により内容が変更・中止になることがあります。,毎年8月15日に行われる富岡八幡宮の例祭は、「深川八幡祭り」とも呼ばれ、赤坂の日枝神社の山王祭、神田明神の神田祭とともに「江戸三大祭」の一つに数えられています。3年に一度の”本祭り”では、富岡八幡宮の御鳳輦が氏子町を巡る「神幸祭(鳳輦渡御)」のほか、53基の町神輿が勢揃いして渡御する「神輿連合渡御」が行われます。また、期間中は境内にて太鼓演奏や舞踊などの奉納行事も催され、連日賑わいを見せます。,0,"お花見クルーズ2,500円、和船周遊500円",江東区観光協会,03-6458-7400,富岡八幡宮,富岡八幡宮,東京都江東区富岡1-20-3,35.671794,139.799519,東京メトロ東西線「門前仲町駅」1番出口徒歩3分 都営地下鉄大江戸線「門前仲町駅」5番・6番出口徒歩6分,無,48,2020/6/20,21:00,誰でも自由に観覧できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,135-0048,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
江東区,水彩フェスティバル,スイサイフェスティバル,Picture in Watercolors Festival,祭り,2019-09-21,2019-09-21,10:00,16:00,雨天中止,かつて江東区クローバー橋で開催された「ふるさとの川まつり」を引き継ぎ、地域の方々の参加を得て「第１回水彩フェスティバル」を2000年に開催したのを起点として、以降毎年開催している江東区の豊かな水辺を楽むイベントです。東京海洋大学のワークショップ、産直野菜の販売、水辺にてパフォーマンス、カフェ、模擬店、工作教室など、大人も子どもも楽しめるにぎやかなお祭りです。,0,"お花見クルーズ2,500円、和船周遊500円",江東区観光協会,03-6458-7400,特定非営利活動法人　江東区の水辺に親しむ会,小名木川クローバー橋周辺,東京都江東区北砂1-2,35.684814,139.821024,都営新宿線・東京メトロ半蔵門線　「住吉駅」B1出口徒歩10分,無,48,2020/6/20,21:00,誰でも自由に参加できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,135-0002,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
江東区,亀戸天神菊まつり,カメイドテンジンキクマツリ,Kameido Tenjin chrysanthemum Festival,祭り,2019-10-27,2019-11-24,0:00,23:59,神社境内は24時間入れます。,「学問の神様」として親しまれている「亀戸天神社」の秋を彩る菊まつりが毎年開催されています。天神社では菅原道真公が16歳の時に詠まれた『残菊詩』から、宮中で行われていた和歌・連歌などを詠む”残菊の宴”を催しておりました。近年は本殿の正面を取り囲むように菊花を展示して、管公をお慰めするとともに、私たち参拝者にも楽しませてくれます。色とりどりの見事な菊をどうぞご鑑賞ください。,0,"お花見クルーズ2,500円、和船周遊500円",江東区観光協会,03-6458-7400,江東区亀戸観光協会,亀戸天神社,東京都江東区亀戸3-6-1,35.702931,139.820668,JR総武線亀戸駅下車北口より徒歩15分 JR総武線、東京メトロ半蔵門線錦糸町駅下車北口より徒歩15分 都バス亀戸天神前下車徒歩1分,無,48,2020/6/20,21:00,誰でも自由に観覧できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,136-0071,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
江東区,江東湾岸まつり,コウトウワンガンマツリ,Koto coastal line festival,祭り,2019-11-09,2019-11-10,10:00,16:00,神社境内は24時間入れます。,区内の食や産業・文化を発信し、更なる気運の醸成と湾岸エリアの観光推進を図るため、江東湾岸まつりを毎年開催しています。たくさんの皆様のご来場をお待ちしています。,0,"お花見クルーズ2,500円、和船周遊500円",江東区観光協会,03-6458-7400,一般社団法人　江東区観光協会,豊洲公園,東京都江東区豊洲2,35.653385,139.793125,東京メトロ有楽町線「豊洲駅」2番出口より徒歩2分／ゆりかもめ「豊洲駅」より徒歩2分,無,48,2020/6/20,21:00,誰でも自由に参加できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,135-0061,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
江東区,深川名所福まつり,フカガワメイショフクマツリ,Fukagawa famous place (the time) fortune,祭り,2019-11-23,2019-11-24,11:00,17:00,雨天決行（荒天の場合は中止）,深川の名所”富岡八幡宮”と”深川不動堂”を着物で巡る「開運お江戸パレード」をはじめ、骨董市や深川の名店によるグルメ屋台、チャンバラ合戦なども楽しめる、お江戸深川ならではの秋祭りが開催されます。,0,"お花見クルーズ2,500円、和船周遊500円",江東区観光協会,03-6458-7400,深川観光協会,深川公園,東京都江東区富岡1,35.672881,139.797461,都営地下鉄大江戸線・東京メトロ東西線「門前仲町駅」1番6番出口徒歩2分,無,48,2020/6/20,21:00,誰でも自由に観覧できます。,https://koto-kanko.jp/event/,新型コロナウイルスの影響により延期,135-0047,江東区立辰巳中学校,江東区立辰巳中学校3年生,0,0,情報なし,https://koto-kanko.jp/theme/detail_spot.php?id=S00096,当ウェブサイトで使用されている文書や画像などの著作権は、一般社団法人江東区観光協会または原著作者が所有しています。当ウェブサイトで使用されているこれら文書や画像などの無断使用・転載はご遠慮ください。,情報なし,2020-12-18
